player_id,player,passes,matches,team,role,regret,completion,rel_pts,95% CI,CI excludes 0
10165.0,Irene Paredes Hernandez,788,16,Spain Women's,DEF,0.0017341679710944763,0.9708121827411168,5.2,"[+1.3, +8.7]",True
6765.0,Rodrigo Hernández Cascante,838,15,Spain,DEF,0.002434176142905154,0.986873508353222,5.1,"[+2.6, +7.0]",True
8221.0,Jonathan Tah,1460,32,Bayer Leverkusen,DEF,0.0017516986290595944,0.9883561643835617,5.0,"[+3.5, +6.4]",True
32712.0,Jeremie Frimpong,500,29,Bayer Leverkusen,DEF,0.003754573335275042,0.862,4.7,"[+1.4, +7.4]",True
3943.0,Declan Rice,731,19,England,CM/DM,0.002308198118564462,0.9753761969904241,2.7,"[+0.4, +5.3]",True
3593.0,Renato Júnior Luz Sanches,562,25,Paris Saint-Germain,CM/DM,0.0024095241157796343,0.9626334519572953,2.6,"[+0.3, +5.7]",True
3244.0,John Stones,968,19,England,DEF,0.0016554861082030588,0.987603305785124,2.4,"[-0.7, +5.9]",False
2995.0,Ángel Fabián Di María Hernández,622,26,Paris Saint-Germain,ATT,0.004204031743007788,0.882636655948553,2.3,"[-0.3, +4.5]",False
15651.0,Juan Bernat Velasco,791,34,Paris Saint-Germain,DEF,0.0023252094924756874,0.95448798988622,2.1,"[-0.5, +4.8]",False
5574.0,Toni Kroos,619,11,Germany,CM/DM,0.002732280867276023,0.9563812600969306,2.1,"[-2.4, +5.7]",False
5203.0,Sergio Busquets i Burgos,2082,44,Barcelona,CM/DM,0.003092383560925819,0.9649375600384246,2.1,"[+0.8, +3.8]",True
6379.0,Sergi Roberto Carnicer,539,15,Barcelona,DEF,0.0027979818279447004,0.9647495361781077,1.7,"[-2.3, +6.3]",False
16308.0,Leandro Daniel Paredes,655,19,Paris Saint-Germain,CM/DM,0.002350894913761999,0.9877862595419847,1.4,"[-2.2, +4.2]",False
13621.0,Danilo Luís Hélio Pereira,1892,51,Paris Saint-Germain,DEF,0.0019105630110688773,0.9804439746300211,1.0,"[-0.5, +2.5]",False
5456.0,Mateo Kovačić,523,14,Croatia,CM/DM,0.002600828761283915,0.9732313575525813,1.0,"[-1.5, +3.7]",False
5503.0,Lionel Andrés Messi Cuccittini,3739,102,Paris Saint-Germain,ATT,0.0034052766522224675,0.9141481679593474,0.9,"[-0.3, +2.0]",False
